# block size, block count
1, 177746
2, 71849
3, 41678
4, 28571
5, 20721
6, 16378
7, 13024
8, 10672
9, 9049
10, 7905
11, 6664
12, 5847
13, 5193
14, 4583
15, 4159
16, 3737
17, 3337
18, 3118
19, 2818
20, 2524
21, 2472
22, 2141
23, 1976
24, 1905
25, 1742
26, 1708
27, 1508
28, 1442
29, 1333
30, 1235
31, 1219
32, 1126
33, 1093
34, 989
35, 933
36, 963
37, 878
38, 767
39, 767
40, 743
41, 741
42, 679
43, 660
44, 656
45, 601
46, 505
47, 552
48, 526
49, 497
50, 485
51, 448
52, 435
53, 412
54, 458
55, 398
56, 419
57, 380
58, 358
59, 315
60, 363
61, 319
62, 333
63, 339
64, 323
65, 280
66, 295
67, 247
68, 263
69, 226
70, 293
71, 217
72, 223
73, 248
74, 229
75, 209
76, 196
77, 218
78, 194
79, 187
80, 180
81, 193
82, 165
83, 178
84, 181
85, 160
86, 151
87, 156
88, 158
89, 148
90, 156
91, 151
92, 149
93, 134
94, 127
95, 127
96, 114
97, 119
98, 131
99, 130
100, 118
101, 109
102, 110
103, 102
104, 119
105, 112
106, 97
107, 107
108, 100
109, 89
110, 95
111, 111
112, 90
113, 113
114, 88
115, 77
116, 102
117, 86
118, 83
119, 81
120, 74
121, 81
122, 76
123, 85
124, 75
125, 74
126, 80
127, 70
128, 76
129, 59
130, 61
131, 58
132, 73
133, 56
134, 50
135, 71
136, 61
137, 51
138, 68
139, 52
140, 60
141, 65
142, 61
143, 72
144, 52
145, 56
146, 69
147, 58
148, 51
149, 45
150, 60
151, 62
152, 62
153, 54
154, 51
155, 51
156, 38
157, 56
158, 45
159, 46
160, 52
161, 42
162, 51
163, 54
164, 46
165, 43
166, 53
167, 43
168, 44
169, 62
170, 37
171, 31
172, 36
173, 44
174, 35
175, 40
176, 32
177, 32
178, 39
179, 35
180, 31
181, 40
182, 35
183, 35
184, 30
185, 42
186, 35
187, 28
188, 27
189, 30
190, 36
191, 27
192, 37
193, 32
194, 42
195, 19
196, 29
197, 30
198, 28
199, 29
200, 31
201, 28
202, 29
203, 29
204, 27
205, 25
206, 30
207, 24
208, 25
209, 19
210, 24
211, 26
212, 30
213, 22
214, 19
215, 32
216, 19
217, 20
218, 26
219, 17
220, 31
221, 20
222, 26
223, 24
224, 20
225, 20
226, 24
227, 22
228, 22
229, 28
230, 35
231, 10
232, 21
233, 20
234, 16
235, 24
236, 20
237, 22
238, 16
239, 18
240, 19
241, 24
242, 17
243, 18
244, 17
245, 21
246, 18
247, 26
248, 14
249, 21
250, 21
251, 26
252, 19
253, 20
254, 17
255, 23
256, 30
257, 20
258, 13
259, 14
260, 14
261, 18
262, 18
263, 20
264, 17
265, 22
266, 12
267, 19
268, 16
269, 24
270, 15
271, 19
272, 22
273, 20
274, 14
275, 13
276, 22
277, 16
278, 12
279, 16
280, 15
281, 13
282, 12
283, 9
284, 17
285, 11
286, 9
287, 9
288, 8
289, 15
290, 15
291, 13
292, 12
293, 14
294, 12
295, 13
296, 16
297, 10
298, 10
299, 11
300, 15
301, 10
302, 17
303, 12
304, 10
305, 15
306, 9
307, 12
308, 14
309, 17
310, 12
311, 14
312, 10
313, 8
314, 9
315, 15
316, 11
317, 7
318, 10
319, 9
320, 14
321, 18
322, 11
323, 3
324, 13
325, 14
326, 8
327, 11
328, 8
329, 5
330, 7
331, 7
332, 6
333, 8
334, 11
335, 12
336, 11
337, 9
338, 16
339, 10
340, 10
341, 7
342, 9
343, 8
344, 8
345, 9
346, 12
347, 21
348, 10
349, 9
350, 10
351, 5
352, 12
353, 13
354, 7
355, 6
356, 6
357, 13
358, 3
359, 9
360, 10
361, 8
362, 10
363, 7
364, 8
365, 8
366, 6
367, 10
368, 13
369, 7
370, 3
371, 7
372, 9
373, 9
374, 6
375, 6
376, 12
377, 11
378, 8
379, 6
380, 7
381, 10
382, 9
383, 12
384, 7
385, 3
386, 4
387, 15
388, 3
389, 5
390, 6
391, 8
392, 9
393, 4
394, 6
395, 9
396, 8
397, 8
398, 7
399, 6
400, 7
401, 11
402, 9
403, 8
404, 8
405, 6
406, 8
407, 3
408, 3
409, 7
410, 6
411, 5
412, 8
413, 7
414, 9
415, 2
416, 2
417, 8
418, 9
419, 8
420, 5
421, 1
422, 5
423, 5
424, 5
425, 10
426, 7
427, 4
428, 7
429, 6
430, 6
431, 6
432, 8
433, 5
434, 5
435, 10
436, 5
438, 6
439, 4
440, 4
441, 6
442, 3
443, 3
444, 8
445, 8
446, 7
448, 4
450, 5
451, 8
452, 6
453, 4
454, 4
455, 8
456, 5
457, 4
458, 6
459, 5
460, 4
461, 5
462, 6
463, 4
464, 6
465, 6
466, 3
467, 7
468, 1
469, 6
470, 6
471, 11
472, 4
473, 3
474, 10
475, 8
476, 4
477, 8
478, 6
479, 3
480, 5
481, 12
482, 2
483, 2
484, 3
485, 8
486, 5
487, 5
488, 9
489, 6
490, 4
491, 3
492, 5
493, 4
494, 1
495, 3
496, 5
497, 6
498, 3
499, 4
500, 5
501, 10
502, 7
503, 5
504, 5
505, 3
506, 5
507, 9
508, 6
509, 4
510, 2
511, 6
512, 2
513, 3
514, 7
515, 3
516, 1
517, 7
518, 3
519, 8
520, 2
521, 6
522, 4
523, 6
524, 4
525, 5
526, 2
527, 5
528, 5
529, 2
530, 2
531, 10
532, 4
533, 3
534, 6
535, 1
536, 3
537, 1
538, 8
539, 6
540, 2
541, 4
542, 3
543, 5
544, 3
545, 3
546, 2
547, 3
548, 6
549, 7
550, 1
551, 3
552, 2
553, 3
554, 5
555, 1
556, 5
557, 3
558, 4
559, 3
560, 4
561, 3
562, 5
563, 3
564, 5
565, 3
566, 5
567, 4
568, 5
569, 1
570, 3
571, 4
572, 4
573, 4
574, 2
575, 1
576, 4
577, 4
578, 1
579, 2
580, 3
581, 1
582, 5
583, 5
584, 3
585, 3
586, 7
587, 3
588, 4
589, 3
591, 3
592, 4
593, 4
594, 5
595, 2
596, 2
597, 5
598, 4
599, 4
600, 8
601, 6
602, 4
603, 1
604, 2
606, 2
607, 1
608, 5
609, 4
610, 3
611, 3
612, 2
613, 9
614, 1
615, 2
616, 2
617, 2
618, 1
619, 4
620, 1
621, 1
622, 5
623, 2
624, 2
625, 3
626, 3
627, 6
628, 2
629, 1
630, 3
631, 2
632, 2
633, 2
634, 1
635, 2
636, 2
637, 2
638, 1
639, 5
641, 5
642, 1
643, 5
644, 2
645, 5
646, 3
647, 7
648, 3
650, 1
651, 1
652, 5
653, 1
654, 1
656, 2
657, 4
658, 4
659, 4
660, 1
661, 1
662, 4
663, 3
664, 2
665, 2
666, 2
667, 1
668, 2
669, 2
670, 3
671, 1
672, 2
673, 2
674, 1
675, 4
676, 1
677, 2
679, 2
680, 4
681, 1
682, 2
683, 3
684, 3
685, 2
686, 2
687, 3
688, 2
690, 1
691, 4
692, 2
693, 3
694, 1
696, 1
697, 4
698, 1
699, 4
700, 2
701, 2
702, 1
703, 5
704, 3
705, 2
706, 2
707, 3
708, 2
709, 6
710, 4
711, 4
712, 3
713, 2
714, 4
715, 2
716, 1
717, 5
718, 1
719, 2
720, 4
721, 1
722, 3
723, 1
726, 3
727, 4
728, 1
729, 1
730, 4
731, 2
732, 1
733, 4
735, 1
738, 6
739, 1
740, 2
741, 4
742, 2
743, 2
744, 4
745, 4
746, 2
747, 1
748, 1
749, 1
750, 4
751, 3
752, 1
753, 3
754, 3
755, 3
757, 3
759, 3
761, 4
762, 3
763, 1
764, 1
765, 6
766, 1
767, 3
768, 3
769, 2
770, 1
772, 1
773, 3
774, 4
775, 1
776, 1
777, 1
778, 3
780, 3
782, 3
783, 1
784, 1
785, 1
786, 2
787, 2
788, 1
790, 2
791, 3
792, 1
793, 3
794, 3
795, 2
796, 1
797, 6
798, 1
799, 2
800, 1
801, 2
802, 3
803, 2
804, 1
805, 1
806, 1
807, 1
808, 3
809, 4
811, 2
812, 1
813, 3
814, 4
816, 3
817, 3
818, 3
819, 1
820, 2
821, 1
822, 3
825, 2
826, 3
827, 3
828, 1
829, 1
830, 1
832, 2
833, 5
834, 1
835, 1
836, 1
837, 1
839, 3
840, 1
841, 2
842, 2
843, 2
845, 1
846, 1
850, 1
851, 2
852, 1
854, 1
855, 3
856, 2
857, 2
858, 1
860, 1
861, 2
862, 1
863, 3
865, 3
869, 1
870, 1
871, 2
872, 2
874, 1
875, 2
876, 1
877, 1
878, 1
881, 1
882, 2
883, 4
884, 3
885, 1
886, 4
888, 4
889, 4
892, 1
893, 3
894, 2
896, 2
897, 1
898, 1
899, 2
900, 1
901, 2
903, 2
904, 1
905, 1
906, 1
907, 1
909, 1
911, 1
912, 1
913, 3
915, 3
917, 5
920, 1
921, 1
922, 2
923, 2
924, 1
925, 2
926, 3
927, 1
928, 2
931, 3
932, 1
933, 1
934, 1
935, 3
936, 2
937, 1
938, 1
939, 1
940, 1
941, 3
944, 3
946, 2
947, 1
948, 2
950, 1
951, 2
952, 4
953, 1
954, 1
955, 2
958, 2
960, 1
963, 3
964, 1
965, 1
966, 1
967, 1
968, 1
969, 2
972, 1
973, 1
976, 2
977, 1
978, 3
979, 4
980, 4
981, 1
982, 1
983, 1
986, 2
987, 1
988, 2
989, 1
990, 1
992, 1
993, 2
994, 1
995, 5
996, 3
997, 2
999, 2
1000, 2
1001, 3
1002, 2
1004, 1
1005, 2
1006, 4
1008, 1
1009, 1
1010, 1
1011, 1
1012, 2
1014, 1
1015, 1
1016, 2
1018, 1
1020, 2
1021, 2
1023, 2
1024, 1
1025, 1
1026, 2
1027, 2
1028, 1
1030, 3
1032, 1
1033, 1
1034, 2
1038, 1
1039, 1
1041, 1
1044, 2
1045, 1
1047, 1
1049, 1
1052, 1
1053, 1
1054, 1
1058, 3
1059, 2
1062, 1
1063, 2
1064, 2
1065, 1
1066, 2
1067, 2
1070, 1
1071, 2
1072, 2
1073, 1
1074, 4
1075, 1
1077, 1
1078, 3
1079, 2
1080, 2
1081, 1
1082, 1
1083, 1
1085, 1
1087, 1
1088, 2
1089, 1
1091, 2
1092, 1
1093, 1
1094, 2
1095, 3
1096, 2
1097, 2
1098, 1
1100, 2
1101, 1
1102, 2
1103, 2
1104, 1
1106, 2
1107, 3
1108, 4
1110, 1
1111, 1
1112, 1
1114, 2
1115, 2
1117, 1
1118, 1
1119, 1
1120, 1
1121, 1
1123, 2
1124, 1
1125, 1
1126, 2
1127, 1
1128, 2
1129, 1
1130, 1
1131, 4
1132, 1
1134, 3
1135, 1
1136, 2
1137, 2
1141, 1
1142, 2
1144, 1
1145, 1
1146, 2
1147, 1
1149, 1
1150, 1
1153, 1
1155, 1
1156, 1
1157, 2
1158, 1
1162, 1
1163, 1
1164, 1
1165, 1
1166, 1
1170, 1
1172, 1
1175, 2
1176, 2
1177, 3
1180, 1
1182, 1
1184, 2
1186, 1
1187, 1
1189, 1
1193, 1
1196, 1
1198, 1
1199, 1
1200, 1
1201, 2
1203, 2
1205, 1
1206, 1
1210, 1
1211, 2
1213, 1
1214, 2
1215, 1
1216, 1
1217, 1
1218, 1
1219, 1
1220, 1
1222, 1
1223, 1
1224, 1
1225, 2
1227, 1
1228, 2
1230, 1
1231, 1
1232, 1
1237, 1
1238, 1
1239, 1
1241, 1
1242, 1
1243, 1
1244, 1
1247, 1
1248, 1
1251, 3
1252, 1
1254, 1
1259, 1
1260, 1
1261, 1
1263, 1
1264, 1
1265, 1
1266, 1
1267, 1
1269, 1
1271, 2
1273, 1
1284, 1
1285, 1
1286, 1
1288, 1
1290, 1
1293, 1
1294, 1
1296, 2
1300, 1
1301, 1
1304, 1
1307, 2
1308, 1
1311, 1
1312, 1
1313, 1
1316, 2
1321, 1
1324, 2
1325, 1
1327, 1
1329, 3
1331, 2
1333, 1
1334, 1
1335, 1
1338, 1
1341, 2
1342, 1
1346, 2
1347, 1
1349, 1
1355, 1
1357, 1
1361, 1
1365, 1
1367, 1
1370, 1
1374, 2
1375, 2
1380, 1
1381, 1
1383, 1
1392, 1
1398, 1
1400, 1
1403, 1
1408, 1
1412, 1
1413, 1
1415, 1
1416, 1
1432, 1
1435, 1
1439, 1
1440, 1
1443, 4
1444, 1
1445, 3
1447, 2
1448, 1
1451, 1
1453, 1
1454, 2
1455, 1
1458, 1
1459, 3
1460, 1
1465, 1
1468, 2
1469, 1
1473, 2
1474, 2
1476, 1
1481, 1
1482, 1
1487, 1
1488, 1
1492, 1
1494, 1
1495, 1
1499, 2
1500, 1
1504, 1
1505, 1
1508, 2
1511, 3
1513, 1
1515, 1
1516, 1
1517, 1
1519, 2
1520, 1
1522, 3
1524, 2
1525, 1
1526, 1
1527, 2
1528, 1
1530, 3
1531, 1
1534, 1
1539, 1
1542, 1
1544, 1
