# block size, block count
1, 462165
2, 176783
3, 97729
4, 64381
5, 45940
6, 34303
7, 26715
8, 21765
9, 17657
10, 15208
11, 12623
12, 10939
13, 9596
14, 8300
15, 7341
16, 6456
17, 5974
18, 5362
19, 4873
20, 4337
21, 4023
22, 3606
23, 3314
24, 2992
25, 2873
26, 2582
27, 2451
28, 2191
29, 2126
30, 2058
31, 1859
32, 1632
33, 1665
34, 1509
35, 1447
36, 1388
37, 1245
38, 1162
39, 1212
40, 1105
41, 1043
42, 962
43, 892
44, 861
45, 838
46, 786
47, 765
48, 717
49, 702
50, 654
51, 619
52, 617
53, 589
54, 567
55, 516
56, 550
57, 506
58, 475
59, 456
60, 452
61, 403
62, 425
63, 411
64, 357
65, 356
66, 360
67, 345
68, 368
69, 358
70, 304
71, 299
72, 265
73, 296
74, 290
75, 268
76, 286
77, 239
78, 262
79, 245
80, 231
81, 257
82, 236
83, 198
84, 216
85, 195
86, 179
87, 216
88, 181
89, 170
90, 218
91, 181
92, 178
93, 176
94, 166
95, 176
96, 145
97, 154
98, 163
99, 159
100, 146
101, 134
102, 149
103, 134
104, 125
105, 115
106, 116
107, 102
108, 127
109, 127
110, 120
111, 117
112, 105
113, 115
114, 112
115, 91
116, 93
117, 99
118, 100
119, 101
120, 94
121, 75
122, 85
123, 72
124, 75
125, 95
126, 78
127, 76
128, 86
129, 77
130, 79
131, 68
132, 86
133, 77
134, 81
135, 71
136, 68
137, 69
138, 74
139, 57
140, 77
141, 70
142, 70
143, 61
144, 66
145, 58
146, 74
147, 66
148, 63
149, 68
150, 49
151, 70
152, 57
153, 52
154, 56
155, 42
156, 60
157, 73
158, 73
159, 42
160, 51
161, 46
162, 45
163, 45
164, 63
165, 43
166, 42
167, 46
168, 52
169, 40
170, 35
171, 53
172, 37
173, 36
174, 34
175, 31
176, 36
177, 33
178, 38
179, 30
180, 43
181, 36
182, 40
183, 26
184, 41
185, 43
186, 40
187, 43
188, 28
189, 32
190, 40
191, 35
192, 31
193, 30
194, 38
195, 29
196, 29
197, 37
198, 35
199, 36
200, 30
201, 28
202, 31
203, 30
204, 27
205, 20
206, 32
207, 32
208, 23
209, 25
210, 35
211, 27
212, 24
213, 24
214, 27
215, 24
216, 23
217, 24
218, 23
219, 23
220, 23
221, 25
222, 16
223, 23
224, 31
225, 21
226, 17
227, 19
228, 20
229, 21
230, 23
231, 25
232, 31
233, 30
234, 23
235, 18
236, 23
237, 19
238, 24
239, 23
240, 31
241, 15
242, 24
243, 21
244, 22
245, 17
246, 13
247, 16
248, 26
249, 21
250, 20
251, 21
252, 19
253, 16
254, 16
255, 17
256, 16
257, 16
258, 13
259, 20
260, 9
261, 10
262, 8
263, 24
264, 17
265, 13
266, 19
267, 10
268, 17
269, 22
270, 15
271, 18
272, 15
273, 9
274, 11
275, 21
276, 21
277, 11
278, 19
279, 23
280, 11
281, 12
282, 18
283, 15
284, 10
285, 19
286, 16
287, 15
288, 17
289, 11
290, 17
291, 12
292, 10
293, 18
294, 12
295, 17
296, 14
297, 7
298, 17
299, 14
300, 7
301, 9
302, 12
303, 17
304, 10
305, 12
306, 15
307, 12
308, 11
309, 22
310, 11
311, 15
312, 17
313, 14
314, 6
315, 7
316, 13
317, 11
318, 12
319, 8
320, 9
321, 10
322, 9
323, 12
324, 13
325, 10
326, 10
327, 9
328, 8
329, 6
330, 16
331, 13
332, 7
333, 6
334, 9
335, 13
336, 7
337, 7
338, 11
339, 12
340, 4
341, 10
342, 15
343, 11
344, 9
345, 3
346, 6
347, 9
348, 9
349, 7
350, 11
351, 6
352, 12
353, 7
354, 8
355, 8
356, 7
357, 3
358, 9
359, 2
360, 11
361, 8
362, 5
363, 3
364, 7
365, 9
366, 8
367, 8
368, 8
369, 9
370, 7
371, 9
372, 4
373, 3
374, 5
375, 8
376, 6
377, 7
378, 10
379, 5
380, 6
381, 7
382, 8
383, 13
384, 5
385, 6
386, 4
387, 4
388, 9
389, 7
390, 6
391, 5
392, 7
393, 5
394, 4
395, 7
396, 10
397, 6
398, 3
399, 9
400, 4
401, 6
402, 2
403, 8
404, 7
405, 9
406, 7
407, 3
408, 4
409, 7
410, 5
411, 4
412, 6
413, 8
414, 4
415, 2
416, 7
417, 6
418, 6
419, 6
420, 3
421, 7
422, 6
423, 2
424, 9
425, 5
426, 4
427, 4
428, 3
429, 8
430, 9
431, 3
432, 6
433, 7
434, 5
435, 6
436, 5
437, 1
438, 4
439, 6
440, 6
441, 4
442, 6
443, 2
444, 2
445, 10
446, 4
447, 6
448, 5
449, 9
450, 6
451, 6
452, 6
453, 7
454, 2
455, 5
456, 4
457, 2
458, 4
459, 7
460, 6
461, 4
462, 3
463, 5
464, 3
465, 7
466, 4
467, 5
468, 1
469, 6
470, 4
471, 2
472, 2
473, 3
474, 4
475, 4
476, 5
477, 3
478, 3
479, 1
480, 9
481, 4
482, 5
484, 4
485, 7
486, 5
487, 5
488, 6
489, 3
490, 5
491, 2
492, 2
493, 4
494, 3
495, 7
496, 3
497, 2
498, 3
499, 7
500, 1
501, 7
502, 2
503, 3
504, 2
505, 3
506, 1
507, 2
508, 5
509, 1
510, 4
511, 3
512, 5
514, 4
515, 3
516, 4
517, 4
518, 5
519, 2
520, 1
521, 3
522, 10
523, 3
524, 8
527, 5
528, 6
529, 4
530, 4
531, 1
533, 3
534, 2
535, 1
536, 3
537, 7
