# block size, block count
1, 1360582
2, 436765
3, 218237
4, 132995
5, 88728
6, 63142
7, 47353
8, 36770
9, 29039
10, 23946
11, 19489
12, 16211
13, 13649
14, 11806
15, 10126
16, 8606
17, 7735
18, 6684
19, 5867
20, 5297
21, 4617
22, 4166
23, 3783
24, 3367
25, 3145
26, 2829
27, 2614
28, 2264
29, 2181
30, 1928
31, 1775
32, 1685
33, 1556
34, 1435
35, 1382
36, 1211
37, 1162
38, 1036
39, 965
40, 869
41, 898
42, 814
43, 770
44, 678
45, 633
46, 652
47, 613
48, 566
49, 514
50, 525
51, 456
52, 447
53, 366
54, 361
55, 368
56, 363
57, 332
58, 336
59, 322
60, 286
61, 276
62, 228
63, 260
64, 231
65, 232
66, 232
67, 207
68, 197
69, 213
70, 188
71, 151
72, 157
73, 151
74, 146
75, 119
76, 161
77, 129
78, 117
79, 128
80, 117
81, 112
82, 105
83, 112
84, 107
85, 84
86, 97
87, 89
88, 88
89, 76
90, 97
91, 92
92, 84
93, 85
94, 62
95, 68
96, 65
97, 67
98, 51
99, 45
100, 49
101, 47
102, 41
103, 48
104, 42
105, 45
106, 59
107, 46
108, 45
109, 45
110, 34
111, 32
112, 37
113, 40
114, 33
115, 30
116, 30
117, 31
118, 34
119, 24
120, 29
121, 20
122, 37
123, 33
124, 34
125, 25
126, 31
127, 21
128, 25
129, 28
130, 14
131, 19
132, 18
133, 31
134, 25
135, 18
136, 23
137, 18
138, 13
139, 24
140, 23
141, 20
142, 23
143, 19
144, 15
145, 16
146, 7
147, 13
148, 16
149, 13
150, 16
151, 12
152, 19
153, 13
154, 14
155, 9
156, 13
157, 21
158, 16
159, 9
160, 21
161, 14
162, 11
163, 9
164, 13
165, 9
166, 10
167, 15
168, 11
169, 10
170, 10
171, 7
172, 8
173, 9
174, 11
175, 6
176, 10
177, 8
178, 10
179, 8
180, 6
181, 9
182, 11
183, 14
184, 7
185, 6
186, 5
187, 6
188, 3
189, 5
190, 7
191, 7
192, 1
193, 5
194, 6
195, 5
196, 5
197, 6
198, 5
199, 2
200, 6
201, 3
202, 5
203, 6
204, 4
205, 6
206, 2
207, 3
208, 5
209, 4
210, 6
211, 9
212, 8
213, 8
214, 5
215, 4
216, 4
217, 3
218, 3
219, 3
221, 6
222, 6
223, 4
224, 3
225, 3
226, 4
227, 7
228, 1
229, 1
230, 2
231, 2
232, 2
233, 1
234, 3
235, 2
236, 1
238, 3
239, 2
240, 1
242, 2
243, 1
245, 1
246, 4
247, 2
248, 1
249, 3
250, 3
251, 6
252, 2
253, 4
254, 1
256, 2
258, 2
259, 1
260, 1
261, 3
262, 2
263, 4
264, 1
265, 5
266, 2
267, 1
268, 3
269, 1
270, 4
271, 2
272, 4
273, 1
274, 2
275, 1
277, 2
279, 2
280, 2
281, 4
282, 1
283, 1
285, 2
286, 1
287, 1
288, 1
289, 1
291, 1
292, 2
294, 1
295, 1
296, 2
297, 1
298, 1
300, 2
301, 2
302, 3
304, 2
305, 2
306, 1
307, 1
310, 1
311, 3
314, 3
315, 1
318, 1
319, 1
320, 1
321, 1
322, 1
325, 2
326, 1
328, 1
330, 1
331, 3
333, 1
335, 1
340, 1
341, 2
342, 1
346, 1
347, 2
348, 2
349, 1
354, 1
355, 1
357, 2
358, 2
359, 2
361, 1
366, 1
367, 1
369, 1
371, 1
372, 1
374, 1
378, 1
379, 2
388, 2
389, 1
391, 1
394, 1
399, 2
401, 1
409, 1
411, 1
412, 1
413, 1
417, 1
418, 1
422, 1
438, 1
439, 1
446, 1
450, 1
451, 1
458, 2
466, 1
480, 1
483, 2
489, 1
492, 1
495, 1
501, 2
503, 2
508, 1
511, 1
549, 1
565, 1
575, 1
588, 1
599, 1
605, 2
637, 1
669, 1
676, 2
712, 1
715, 1
840, 1
866, 1
933, 1
1002, 1
2501, 1
3567, 1
